id,target
250,0
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,1
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,0
375,0
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,0
606,1
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,0
615,0
616,1
617,1
618,0
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,1
634,1
635,1
636,0
637,1
638,0
639,0
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,1
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,0
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,0
713,1
714,1
715,1
716,0
717,1
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,0
788,0
789,1
790,1
791,1
792,1
793,0
794,0
795,1
796,0
797,0
798,1
799,1
800,0
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,1
811,0
812,1
813,1
814,1
815,1
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,0
833,1
834,1
835,1
836,0
837,1
838,0
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,0
861,1
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,0
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,1
881,0
882,1
883,0
884,0
885,0
886,1
887,0
888,1
889,1
890,1
891,0
892,1
893,1
894,0
895,1
896,0
897,0
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,1
930,0
931,1
932,0
933,1
934,1
935,1
936,0
937,1
938,0
939,0
940,1
941,1
942,0
943,0
944,0
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,1
953,1
954,1
955,0
956,0
957,1
958,0
959,1
960,0
961,1
962,1
963,1
964,0
965,1
966,0
967,1
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,1
976,1
977,1
978,1
979,0
980,0
981,1
982,1
983,0
984,1
985,0
986,0
987,1
988,0
989,0
990,1
991,1
992,0
993,1
994,1
995,0
996,1
997,0
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,0
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,0
1071,1
1072,0
1073,1
1074,0
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,1
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,0
1110,1
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,0
1118,1
1119,0
1120,1
1121,0
1122,1
1123,0
1124,0
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,1
1132,0
1133,0
1134,0
1135,0
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,0
1144,1
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,1
1152,0
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,0
1160,0
1161,1
1162,1
1163,1
1164,0
1165,1
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,0
